participant,condition,mean_interval_s,median_interval_s,std_interval_s,count
Participant_1,Moving,16.9641935483871,17.75,9.018876047562143,31
Participant_1,SemiStationary,16.1328125,17.879999999999995,8.49891576932212,32
Participant_1,Stationary,12.034545454545453,12.020000000000039,8.071039311524991,33
Participant_10,Moving,18.041999999999994,16.779999999999973,8.716111276795022,20
Participant_10,SemiStationary,16.807142857142857,15.380000000000052,9.458981521737488,21
Participant_10,Stationary,13.619,14.510000000000005,6.062981635778675,20
Participant_11,Moving,23.8235,19.680000000000007,17.38956107766046,20
Participant_11,SemiStationary,18.985500000000002,18.249999999999943,6.508060973253,20
Participant_11,Stationary,23.3895,23.29000000000002,11.09234799072623,20
Participant_12,Moving,19.187,15.765000000000043,12.631951593187479,20
Participant_12,SemiStationary,15.802000000000001,15.199999999999989,6.376358142223114,20
Participant_12,Stationary,14.764499999999998,13.099999999999966,7.17465016568753,20
Participant_13,Moving,33.452999999999996,23.019999999999982,32.64751205157742,20
Participant_13,SemiStationary,27.490999999999996,19.79499999999996,15.919940128160329,20
Participant_13,Stationary,15.319999999999999,14.935000000000002,5.050441356429843,20
Participant_14,Moving,17.199,16.180000000000007,6.627270534453992,20
Participant_14,SemiStationary,18.028,16.339999999999975,12.521821206030284,20
Participant_14,Stationary,10.184000000000001,10.41000000000001,5.384089035003239,20
Participant_15,Moving,57.84650000000001,21.215000000000032,64.32456265525227,20
Participant_15,SemiStationary,24.973,22.61500000000001,11.735039793173625,20
Participant_15,Stationary,19.221500000000002,18.86499999999998,7.698299384997484,20
Participant_16,Moving,22.955000000000002,19.329999999999984,11.025860749309222,20
Participant_16,SemiStationary,21.637,15.615000000000009,14.653364298452342,20
Participant_16,Stationary,21.062,17.189999999999998,15.188813612240033,20
Participant_17,Moving,40.337894736842095,24.87000000000012,36.9177037595405,19
Participant_17,SemiStationary,24.049999999999997,21.120000000000005,10.671036056837035,20
Participant_17,Stationary,15.138,14.86499999999998,7.992502802791583,20
Participant_18,Moving,27.054000000000002,22.120000000000005,11.882249211146402,20
Participant_18,SemiStationary,22.201999999999998,18.67999999999998,10.23303916372433,20
Participant_18,Stationary,22.372500000000002,20.30499999999995,11.06567850560797,20
Participant_19,Moving,25.836000000000002,21.355000000000018,20.444362599632775,20
Participant_19,SemiStationary,20.4115,20.399999999999977,7.74394315102553,20
Participant_19,Stationary,24.754499999999997,18.25499999999998,26.728149260559302,20
Participant_2,Moving,17.564545454545453,18.150000000000034,9.046604586553743,22
Participant_2,SemiStationary,16.86130434782609,14.29000000000002,10.002517548710076,23
Participant_2,Stationary,9.377391304347826,9.359999999999985,5.30658100628687,23
Participant_3,Moving,20.078095238095237,16.639999999999873,12.150173504542124,21
Participant_3,SemiStationary,19.462,17.284999999999982,11.25813231215084,20
Participant_3,Stationary,12.505,11.574999999999989,6.521067506825203,22
Participant_4,Moving,24.43333333333333,15.879999999999882,18.915091417525144,21
Participant_4,SemiStationary,22.59363636363636,18.954999999999984,14.122142541296972,22
Participant_4,Stationary,18.709047619047617,18.91999999999996,7.379865110394577,21
Participant_5,Moving,24.6325,23.995000000000005,11.089003028130836,20
Participant_5,SemiStationary,24.483500000000003,21.49000000000001,12.641576881569474,20
Participant_5,Stationary,17.5205,14.889999999999986,8.535971855993651,20
Participant_6,Moving,24.271499999999996,18.365000000000123,15.538962329034648,20
Participant_6,SemiStationary,14.977500000000001,14.654999999999973,7.519608664929598,20
Participant_6,Stationary,15.316000000000003,16.300000000000068,7.902421614190222,20
Participant_7,Moving,27.442499999999995,19.26000000000002,18.687872474724852,20
Participant_7,SemiStationary,23.328500000000002,17.324999999999932,16.51606849962215,20
Participant_7,Stationary,16.316000000000003,15.41500000000002,6.935608651619625,20
Participant_8,Moving,19.514000000000003,18.644999999999982,6.959144230510858,20
Participant_8,SemiStationary,21.285500000000003,19.82000000000005,9.884287091934823,20
Participant_8,Stationary,12.644,11.039999999999992,7.8106064189395,20
Participant_9,Moving,31.351499999999998,21.019999999999982,19.773374781841298,20
Participant_9,SemiStationary,15.495000000000001,15.719999999999999,8.278323311039827,20
Participant_9,Stationary,11.830499999999997,11.330000000000013,7.180876998924583,20
