participant,condition,capture_rate_hz,total_frames,duration_seconds,fraction_valid
Participant_1,Stationary,10.0,3814.0,423.0655517578125,0.0
Participant_1,SemiStationary,15.0,7933.0,552.7744598388672,1.0
Participant_1,Moving,15.0,7882.0,548.5654907226562,1.0
Participant_10,Stationary,10.0,2567.0,284.7410202026367,1.0
Participant_10,SemiStationary,15.0,5216.0,363.7387390136719,1.0
Participant_10,Moving,15.0,5417.0,377.66766357421875,1.0
Participant_11,Stationary,10.0,4490.0,498.4032287597656,1.0
Participant_11,SemiStationary,15.0,5660.0,394.6617431640625,1.0
Participant_11,Moving,15.0,7076.0,492.6800842285156,1.0
Participant_12,Stationary,10.0,2845.0,315.7012634277344,1.0
Participant_12,SemiStationary,15.0,4699.0,332.0140380859375,1.0
Participant_12,Moving,15.0,5648.0,398.876953125,1.0
Participant_13,Stationary,10.0,3041.0,337.34010314941406,1.0
Participant_13,SemiStationary,15.0,8220.0,572.1123046875,1.0
Participant_13,Moving,15.0,9766.0,680.6466369628906,0.9903747696088471
Participant_14,Stationary,10.0,1925.0,213.55852127075195,1.0
Participant_14,SemiStationary,15.0,5472.0,380.7572937011719,1.0
Participant_14,Moving,15.0,5086.0,354.64813232421875,1.0
Participant_15,Stationary,10.0,3644.0,404.4967956542969,1.0
Participant_15,SemiStationary,15.0,7476.0,520.2589416503906,1.0
Participant_15,Moving,15.0,16981.0,1160.5253662109376,1.0
Participant_16,Stationary,10.0,3949.0,438.06951904296875,1.0
Participant_16,SemiStationary,15.0,6495.0,452.54669189453125,1.0
Participant_16,Moving,15.0,6707.0,466.92095947265625,1.0
Participant_17,Stationary,10.0,2972.0,329.99224853515625,1.0
Participant_17,SemiStationary,15.0,7144.0,499.5143737792969,0.9986002239641657
Participant_17,Moving,15.0,11277.0,780.1091634114583,1.0
Participant_18,Stationary,10.0,4224.0,468.8031005859375,1.0
Participant_18,SemiStationary,15.0,6643.0,462.00579833984375,1.0
Participant_18,Moving,15.0,8142.0,566.214111328125,1.0
Participant_19,Stationary,10.0,4539.0,503.434326171875,1.0
Participant_19,SemiStationary,15.0,6137.0,426.9713134765625,1.0
Participant_19,Moving,15.0,7738.0,538.1798095703125,1.0
Participant_2,Stationary,10.0,2046.0,226.38554763793945,1.0
Participant_2,SemiStationary,15.0,5811.0,405.8156280517578,1.0
Participant_2,Moving,15.0,5877.0,409.33404541015625,1.0
Participant_3,Stationary,10.0,2693.0,298.73358154296875,1.0
Participant_3,SemiStationary,15.0,5802.0,404.43706130981445,1.0
Participant_3,Moving,15.0,6249.0,434.94818115234375,1.0
Participant_4,Stationary,10.0,3676.0,408.04600524902344,1.0
Participant_4,SemiStationary,15.0,7266.0,505.8999328613281,1.0
Participant_4,Moving,15.0,7642.0,532.0396118164062,1.0
Participant_5,Stationary,10.0,3313.0,367.56207275390625,1.0
Participant_5,SemiStationary,15.0,7176.0,499.86016845703125,1.0
Participant_5,Moving,15.0,7377.0,513.5090942382812,1.0
Participant_6,Stationary,10.0,2975.0,330.10052490234375,1.0
Participant_6,SemiStationary,15.0,4530.0,315.53082275390625,1.0
Participant_6,Moving,15.0,7214.0,502.4849853515625,1.0
Participant_7,Stationary,10.0,3157.0,350.5107727050781,1.0
Participant_7,SemiStationary,15.0,6991.0,487.27362060546875,1.0
Participant_7,Moving,15.0,8090.0,562.9311828613281,1.0
Participant_8,Stationary,10.0,2432.0,269.45860290527344,0.0
Participant_8,SemiStationary,15.0,6410.0,446.5128173828125,1.0
Participant_8,Moving,15.0,5846.0,408.8758850097656,1.0
Participant_9,Stationary,10.0,2246.0,249.09994506835938,1.0
Participant_9,SemiStationary,15.0,4723.0,329.0378723144531,1.0
Participant_9,Moving,15.0,9192.0,639.593505859375,0.9489773716275022
