condition,task,metric,predictor,rho,p_value,n
Moving,Controls,mean_duration_s,age,-0.051101817443239474,0.835415946842662,19
Moving,Controls,mean_duration_s,xr_experience,-0.37433239548750524,0.11434920692831776,19
Moving,Controls,mean_duration_s,videogame_experience,0.06575936146486776,0.7891088842072764,19
Moving,Key,mean_duration_s,age,0.3718097751904665,0.1170066900789323,19
Moving,Key,mean_duration_s,xr_experience,-0.32613068976719634,0.1729875141362457,19
Moving,Key,mean_duration_s,videogame_experience,-0.20268296341911293,0.40530421992321164,19
Moving,Visual,mean_duration_s,age,0.4088145395459158,0.08223121916847054,19
Moving,Visual,mean_duration_s,xr_experience,-0.16511648129722836,0.4993424247385303,19
Moving,Visual,mean_duration_s,videogame_experience,-0.1783610078088194,0.46504399069464863,19
SemiStationary,Controls,mean_duration_s,age,-0.0422911592633706,0.8635128880146816,19
SemiStationary,Controls,mean_duration_s,xr_experience,0.09332670682017255,0.7039339255657993,19
SemiStationary,Controls,mean_duration_s,videogame_experience,-0.0756683063431355,0.7581734989538507,19
SemiStationary,Key,mean_duration_s,age,0.4079334737279289,0.08295821115201994,19
SemiStationary,Key,mean_duration_s,xr_experience,-0.4502244427918214,0.05307558995368548,19
SemiStationary,Key,mean_duration_s,videogame_experience,-0.28555777512826136,0.23598133669585786,19
SemiStationary,Visual,mean_duration_s,age,0.7092579834794444,0.0006726708635952032,19
SemiStationary,Visual,mean_duration_s,xr_experience,-0.37433239548750524,0.11434920692831776,19
SemiStationary,Visual,mean_duration_s,videogame_experience,-0.4945464307426356,0.031358163032290574,19
Stationary,Controls,mean_duration_s,age,0.22114752031470872,0.36289878262460074,19
Stationary,Controls,mean_duration_s,xr_experience,-0.322028416939936,0.17877355110196805,19
Stationary,Controls,mean_duration_s,videogame_experience,-0.10179188829493227,0.6783921781991855,19
Stationary,Key,mean_duration_s,age,0.4017660130020207,0.0881801379812133,19
Stationary,Key,mean_duration_s,xr_experience,-0.36920455445342987,0.11979710687610966,19
Stationary,Key,mean_duration_s,videogame_experience,-0.0891805039044097,0.716557746071501,19
Stationary,Visual,mean_duration_s,age,0.7339278263830773,0.00034756004131689713,19
Stationary,Visual,mean_duration_s,xr_experience,0.1322982986791457,0.5892605174802544,19
Stationary,Visual,mean_duration_s,videogame_experience,-0.47923260683985813,0.03788631913615742,19
