condition,task,anchor_a,anchor_b,n_a,n_b,U_mannwhitney,p_raw,p_holm
Moving,Controls,Arm,Head,12,6,51.0,0.1797026502908856,0.5391079508726568
Moving,Controls,Arm,Torso,12,3,20.0,0.8395604395604395,0.8395604395604395
Moving,Controls,Head,Torso,6,3,4.0,0.26190476190476186,0.5238095238095237
Moving,Key,Arm,Head,3,8,15.0,0.6303030303030304,1.0
Moving,Key,Arm,Torso,3,7,12.0,0.8333333333333333,0.8333333333333333
Moving,Key,Head,Torso,8,7,24.0,0.6943278943278944,1.0
Moving,Visual,Arm,Head,4,6,17.0,0.35238095238095235,0.7047619047619047
Moving,Visual,Arm,Torso,4,9,20.0,0.8251748251748252,0.8251748251748252
Moving,Visual,Head,Torso,6,9,17.0,0.2721278721278721,0.8163836163836162
SemiStationary,Controls,Arm,Head,11,4,35.0,0.10402930402930403,0.3120879120879121
SemiStationary,Controls,Arm,Torso,11,3,19.0,0.7692307692307692,0.7692307692307692
SemiStationary,Controls,Head,Torso,4,3,2.0,0.22857142857142856,0.45714285714285713
SemiStationary,Key,Arm,Head,3,8,14.0,0.7757575757575759,1.0
SemiStationary,Key,Arm,Torso,3,3,4.0,1.0,1.0
SemiStationary,Key,Arm,World,3,7,10.0,0.9999999999999999,1.0
SemiStationary,Key,Head,Torso,8,3,11.0,0.9212121212121214,1.0
SemiStationary,Key,Head,World,8,7,27.0,0.9550893550893552,1.0
SemiStationary,Key,Torso,World,3,7,15.0,0.3833333333333333,1.0
SemiStationary,Visual,Head,Torso,8,9,43.0,0.5414232825997531,1.0
SemiStationary,Visual,Head,World,8,2,13.0,0.26666666666666666,0.8
SemiStationary,Visual,Torso,World,9,2,11.0,0.7272727272727273,0.7272727272727273
