condition,task,anchor,participants,completions,mean_duration_s,median_duration_s,std_duration_s,accuracy
Moving,Controls,Arm,12,81,8.070753968253968,6.03875,6.2253165530529975,1.0
Moving,Controls,Head,6,33,5.449355158730159,4.197500000000001,4.122686600722613,1.0
Moving,Controls,Torso,3,28,6.400714285714286,5.63,4.549780459590861,1.0
Moving,Key,Arm,3,20,62.89103174603175,58.193333333333335,25.857508016080818,0.9523809523809524
Moving,Key,Head,8,59,58.41310714285714,50.28125,25.860336004135274,0.8678571428571429
Moving,Key,Torso,7,49,54.57,49.870000000000005,26.329558632263705,0.9591836734693878
Moving,Key,World,1,7,70.57142857142857,65.87,31.909277349266016,1.0
Moving,Visual,Arm,4,28,11.299285714285714,10.575,6.746859558691163,0.8928571428571428
Moving,Visual,Head,6,45,9.842380952380953,9.939166666666667,4.554306291637116,0.9357142857142856
Moving,Visual,Torso,9,63,11.023650793650795,10.386666666666667,5.561818914482959,0.9206349206349205
SemiStationary,Controls,Arm,11,82,6.514978354978354,5.876363636363636,3.6347573818080745,1.0
SemiStationary,Controls,Head,4,31,4.452018849206349,4.34875,1.7469933549388657,1.0
SemiStationary,Controls,Torso,3,23,6.038306878306879,5.426666666666667,3.6888812962044866,1.0
SemiStationary,Controls,World,1,7,7.658571428571428,6.47,2.5971678714285975,1.0
SemiStationary,Key,Arm,3,19,45.29990476190476,40.45333333333333,22.665919811715117,0.9047619047619048
SemiStationary,Key,Head,8,46,43.426607142857144,39.9425,17.31097456327949,0.9464285714285714
SemiStationary,Key,Torso,3,19,48.35304761904762,47.57333333333333,18.252689197725992,1.0
SemiStationary,Key,World,7,52,44.83481632653061,43.36928571428571,18.430113288814926,0.9183673469387755
SemiStationary,Visual,Arm,1,7,9.985714285714286,10.07,4.9248819178495955,1.0
SemiStationary,Visual,Head,8,60,10.07409090909091,9.09,4.621043905424455,0.8814935064935064
SemiStationary,Visual,Torso,9,63,9.322612433862433,8.841666666666667,4.287180330640209,0.9179894179894181
SemiStationary,Visual,World,2,8,8.241428571428571,8.155000000000001,3.766898433661812,1.0
Stationary,Controls,Arm,1,7,4.9314285714285715,4.03,2.5300159984436768,1.0
Stationary,Controls,Head,1,8,2.91,2.605,1.2066482503198686,1.0
Stationary,Controls,World,17,130,5.016633986928105,4.197647058823529,2.5532594357021248,1.0
Stationary,Key,Torso,1,3,32.306666666666665,36.17,13.38006103623348,1.0
Stationary,Key,World,19,133,32.95409022556391,30.50368421052632,18.041199789438387,0.9195488721804511
Stationary,Visual,World,19,137,10.181927546138073,9.454736842105262,5.180316469192314,0.9651401230348599
