participant_id,condition,adaptability_changes
1,Semi-Stationary,2
2,Moving,1
3,Stationary,0
4,Moving,2
5,Semi-Stationary,2
6,Stationary,0
7,Semi-Stationary,1
8,Stationary,0
9,Moving,2
10,Moving,2
11,Stationary,1
12,Semi-Stationary,2
13,Stationary,0
14,Semi-Stationary,2
15,Moving,2
16,Stationary,0
17,Moving,0
18,Semi-Stationary,1
19,Semi-Stationary,1
20,Moving,1
21,Stationary,0
22,Semi-Stationary,2
23,Stationary,0
24,Moving,2
25,Moving,2
26,Semi-Stationary,2
27,Stationary,2
28,Moving,1
29,Stationary,0
30,Semi-Stationary,0
31,Stationary,0
32,Semi-Stationary,1
33,Moving,1
34,Stationary,0
35,Moving,2
36,Semi-Stationary,2
37,Semi-Stationary,2
38,Stationary,0
39,Moving,0
40,Semi-Stationary,1
41,Moving,1
42,Stationary,0
43,Moving,0
44,Semi-Stationary,1
45,Stationary,0
46,Stationary,0
47,Semi-Stationary,0
48,Moving,0
49,Moving,1
50,Stationary,0
51,Semi-Stationary,2
52,Stationary,0
53,Moving,1
54,Semi-Stationary,1
55,Semi-Stationary,0
56,Moving,1
57,Stationary,1
