participant_id,age,gender,language,xr_experience,videogame_experience
1,31.0,Male,Português (Portugal)?,3.0,7.0
2,30.0,Female,Português (Portugal)?,2.0,2.0
3,33.0,Male,Português (Portugal)?,2.0,7.0
4,33.0,Female,Português (Portugal)?,1.0,3.0
5,25.0,Male,Português (Portugal)?,1.0,7.0
6,27.0,Female,Português (Portugal)?,2.0,2.0
7,30.0,Female,Português (Portugal)?,1.0,5.0
8,30.0,Female,Português (Portugal)?,1.0,5.0
9,27.0,Male,Português (Portugal)?,1.0,5.0
10,31.0,Female,Português (Portugal)?,1.0,2.0
11,38.0,Male,Português (Portugal)?,4.0,4.0
12,31.0,Male,Português (Portugal)?,1.0,6.0
13,44.0,Male,Português (Portugal)?,2.0,2.0
14,23.0,Male,Português (Portugal)?,2.0,7.0
15,60.0,Male,Português (Portugal)?,1.0,3.0
16,49.0,Female,Português (Portugal)?,1.0,2.0
17,57.0,Female,Português (Portugal)?,1.0,2.0
18,47.0,Female,Português (Portugal)?,1.0,3.0
19,48.0,Male,Português (Portugal)?,1.0,3.0
