condition,task,anchor,count,mean,median,std
Moving,Controls,Arm,19,5.7894736842105265,6.0,1.5484381869204369
Moving,Controls,Head,19,5.0,6.0,1.7950549357115015
Moving,Controls,Torso,19,5.421052631578948,6.0,1.2163602113447682
Moving,Controls,World,19,2.1578947368421053,1.0,1.5004872502970805
Moving,Key,Arm,19,3.8421052631578947,4.0,1.8337320140672695
Moving,Key,Head,19,5.526315789473684,6.0,1.7438278792686563
Moving,Key,Torso,19,5.947368421052632,6.0,1.1290942392774796
Moving,Key,World,19,2.3157894736842106,1.0,1.8273426844874248
Moving,Visual,Arm,19,4.157894736842105,4.0,1.675415633166782
Moving,Visual,Head,19,4.894736842105263,5.0,1.6962290477574486
Moving,Visual,Torso,19,6.157894736842105,6.0,1.0145145470035761
Moving,Visual,World,19,2.3684210526315788,2.0,1.6736694986296654
Semi-Stationary,Controls,Arm,19,5.368421052631579,7.0,2.1137256816602155
Semi-Stationary,Controls,Head,19,4.7894736842105265,5.0,1.843274482738111
Semi-Stationary,Controls,Torso,19,5.421052631578948,5.0,1.1697953037312039
Semi-Stationary,Controls,World,19,2.6842105263157894,2.0,1.7337381443621682
Semi-Stationary,Key,Arm,19,3.736842105263158,4.0,1.820930936000652
Semi-Stationary,Key,Head,19,4.947368421052632,5.0,1.7786912857655988
Semi-Stationary,Key,Torso,19,5.368421052631579,6.0,1.4609938138050442
Semi-Stationary,Key,World,19,4.894736842105263,5.0,2.2581884785549593
Semi-Stationary,Visual,Arm,19,3.789473684210526,4.0,1.5839103288458478
Semi-Stationary,Visual,Head,19,5.105263157894737,6.0,2.078854835456431
Semi-Stationary,Visual,Torso,19,5.947368421052632,7.0,1.35292621998583
Semi-Stationary,Visual,World,19,3.1052631578947367,2.0,1.8527678046673026
Stationary,Controls,Arm,19,3.263157894736842,3.0,1.7901615465016276
Stationary,Controls,Head,19,4.052631578947368,5.0,1.928548222268252
Stationary,Controls,Torso,19,4.315789473684211,4.0,1.335524515310053
Stationary,Controls,World,19,6.842105263157895,7.0,0.501459857121279
Stationary,Key,Arm,19,2.6315789473684212,2.0,1.382852378872881
Stationary,Key,Head,19,4.0,5.0,1.8257418583505538
Stationary,Key,Torso,19,3.9473684210526314,4.0,1.6149882768933415
Stationary,Key,World,19,7.0,7.0,0.0
Stationary,Visual,Arm,19,2.789473684210526,3.0,1.357241785076592
Stationary,Visual,Head,19,3.8947368421052633,5.0,1.760515607621348
Stationary,Visual,Torso,19,4.2631578947368425,5.0,1.6945043609385506
Stationary,Visual,World,19,7.0,7.0,0.0
