condition,task,anchor,mean_rank
Moving,Controls,Arm,1.8421052631578947
Moving,Controls,Head,2.263157894736842
Moving,Controls,Torso,2.1578947368421053
Moving,Controls,World,3.736842105263158
Moving,Key,Arm,2.8421052631578947
Moving,Key,Head,1.894736842105263
Moving,Key,Torso,1.736842105263158
Moving,Key,World,3.526315789473684
Moving,Visual,Arm,2.5789473684210527
Moving,Visual,Head,2.210526315789474
Moving,Visual,Torso,1.5789473684210527
Moving,Visual,World,3.6315789473684212
Semi-Stationary,Controls,Arm,1.9473684210526316
Semi-Stationary,Controls,Head,2.3684210526315788
Semi-Stationary,Controls,Torso,2.210526315789474
Semi-Stationary,Controls,World,3.473684210526316
Semi-Stationary,Key,Arm,3.1578947368421053
Semi-Stationary,Key,Head,2.3157894736842106
Semi-Stationary,Key,Torso,2.210526315789474
Semi-Stationary,Key,World,2.3157894736842106
Semi-Stationary,Visual,Arm,2.9473684210526314
Semi-Stationary,Visual,Head,2.1052631578947367
Semi-Stationary,Visual,Torso,1.7894736842105263
Semi-Stationary,Visual,World,3.1578947368421053
Stationary,Controls,Arm,3.3684210526315788
Stationary,Controls,Head,2.9473684210526314
Stationary,Controls,Torso,2.6315789473684212
Stationary,Controls,World,1.0526315789473684
Stationary,Key,Arm,3.6315789473684212
Stationary,Key,Head,2.6842105263157894
Stationary,Key,Torso,2.6842105263157894
Stationary,Key,World,1.0
Stationary,Visual,Arm,3.6315789473684212
Stationary,Visual,Head,2.8421052631578947
Stationary,Visual,Torso,2.526315789473684
Stationary,Visual,World,1.0
