condition,task,overall_label,count,proportion
Moving,Controls,NEG,3,0.15789473684210525
Moving,Controls,POS,16,0.8421052631578947
Moving,Key,NEG,3,0.15789473684210525
Moving,Key,POS,16,0.8421052631578947
Moving,Visual,NEG,3,0.15789473684210525
Moving,Visual,POS,16,0.8421052631578947
Semi-Stationary,Controls,NEU,1,0.05263157894736842
Semi-Stationary,Controls,POS,18,0.9473684210526315
Semi-Stationary,Key,NEU,1,0.05263157894736842
Semi-Stationary,Key,POS,18,0.9473684210526315
Semi-Stationary,Visual,NEU,1,0.05263157894736842
Semi-Stationary,Visual,POS,18,0.9473684210526315
Stationary,Controls,NEG,5,0.2631578947368421
Stationary,Controls,NEU,2,0.10526315789473684
Stationary,Controls,POS,12,0.631578947368421
Stationary,Key,NEG,5,0.2631578947368421
Stationary,Key,NEU,2,0.10526315789473684
Stationary,Key,POS,12,0.631578947368421
Stationary,Visual,NEG,5,0.2631578947368421
Stationary,Visual,NEU,2,0.10526315789473684
Stationary,Visual,POS,12,0.631578947368421
