row_index,participant_id,condition,label,score,compound
0,1,Semi-Stationary,POS,0.9371,0.9371
1,2,Moving,POS,0.6369,0.6369
2,3,Stationary,NEU,0.0,0.0
3,4,Moving,POS,0.9589,0.9589
4,5,Semi-Stationary,NEU,0.0,0.0
5,6,Stationary,POS,0.8589,0.8589
6,7,Semi-Stationary,POS,0.8402,0.8402
7,8,Stationary,POS,0.4336,0.4336
8,9,Moving,POS,0.9786,0.9786
9,10,Moving,POS,0.9413,0.9413
10,11,Stationary,POS,0.6956,0.6956
11,12,Semi-Stationary,POS,0.9412,0.9412
12,13,Stationary,POS,0.6369,0.6369
13,14,Semi-Stationary,POS,0.8896,0.8896
14,15,Moving,POS,0.7964,0.7964
15,16,Stationary,NEG,0.5719,-0.5719
16,17,Moving,NEG,0.1027,-0.1027
17,18,Semi-Stationary,POS,0.3321,0.3321
18,19,Semi-Stationary,POS,0.9181,0.9181
19,20,Moving,POS,0.8,0.8
20,21,Stationary,NEG,0.2654,-0.2654
21,22,Semi-Stationary,POS,0.5719,0.5719
22,23,Stationary,NEG,0.296,-0.296
23,24,Moving,NEG,0.3291,-0.3291
24,25,Moving,POS,0.8011,0.8011
25,26,Semi-Stationary,POS,0.6908,0.6908
26,27,Stationary,POS,0.4215,0.4215
27,28,Moving,POS,0.6808,0.6808
28,29,Stationary,POS,0.6908,0.6908
29,30,Semi-Stationary,POS,0.8837,0.8837
30,31,Stationary,POS,0.4019,0.4019
31,32,Semi-Stationary,POS,0.7132,0.7132
32,33,Moving,POS,0.9393,0.9393
33,34,Stationary,POS,0.128,0.128
34,35,Moving,POS,0.9578,0.9578
35,36,Semi-Stationary,POS,0.7783,0.7783
36,37,Semi-Stationary,POS,0.6781,0.6781
37,38,Stationary,POS,0.5994,0.5994
38,39,Moving,POS,0.4703,0.4703
39,40,Semi-Stationary,POS,0.9756,0.9756
40,41,Moving,POS,0.9542,0.9542
41,42,Stationary,NEU,0.0,0.0
42,43,Moving,POS,0.7783,0.7783
43,44,Semi-Stationary,POS,0.5574,0.5574
44,45,Stationary,NEG,0.4503,-0.4503
45,46,Stationary,POS,0.2716,0.2716
46,47,Semi-Stationary,POS,0.0772,0.0772
47,48,Moving,POS,0.9248,0.9248
48,49,Moving,NEG,0.5402,-0.5402
49,50,Stationary,POS,0.5106,0.5106
50,51,Semi-Stationary,POS,0.7579,0.7579
51,52,Stationary,NEG,0.5709,-0.5709
52,53,Moving,POS,0.9324,0.9324
53,54,Semi-Stationary,POS,0.6906,0.6906
54,55,Semi-Stationary,POS,0.4477,0.4477
55,56,Moving,POS,0.7131,0.7131
56,57,Stationary,POS,0.3597,0.3597
